#separator:Semicolon
#html:false
#tags column:3
I woke up late (wake);Я проснулся поздно;w03_d016
I got tired;Я устал;w03_d017
I was exhausted;Я был вымотан;w03_d017
I felt dizzy;У меня кружилась голова;w03_d017
I had a runny nose;У меня был насморк;w03_d017
a nasal spray;спрей для носа;w03_d017
My ears hurt on the plane;У меня болели уши в самолёте;w03_d017
the pressure;давление;w03_d017
I caught a cold;Я простудился;w03_d017
painkillers;обезболивающее;w03_d017
I needed a break;Мне нужен был перерыв;w03_d017
The flight got cancelled;Рейс отменили;w03_d019
I missed my connection;Я опоздал на стыковку;w03_d019
I ran out of money;У меня кончились деньги;w03_d019
The car broke down;Машина сломалась;w03_d019
I got lost;Я заблудился;w03_d019
I had to wait for hours;Мне пришлось ждать часами;w03_d019
I dealt with it;Я с этим разобрался;w03_d019
I kept calm;Я сохранял спокойствие;w03_d019
It could have been worse;Могло быть и хуже;w03_d019
Anyway, ...;В любом случае ...;w03_d019
Today went smoothly;Сегодня всё прошло гладко;w03_d020
I nearly forgot something important;Я чуть не забыл кое-что важное;w03_d020
I've lived here all my life;Я живу здесь всю жизнь;w04_d022
I've been doing sport since February;Я занимаюсь спортом с февраля;w04_d022
for six months;уже шесть месяцев;w04_d022
since last winter;с прошлой зимы;w04_d022
How long have you ...?;Как давно ты ...?;w04_d022
I've had this phone for two years;У меня этот телефон два года;w04_d022
I started in February;Я начал в феврале;w04_d022
lately;в последнее время;w04_d022
recently;недавно;w04_d022
these days;сейчас, в наши дни;w04_d022
I became stronger (become);Я стал сильнее;w04_d023
I began to eat better (begin);Я начал лучше питаться;w04_d023
I chose a plan (choose);Я выбрал план;w04_d023
I grew up in a village (grow);Я вырос в деревне;w04_d023
I kept going (keep);Я продолжал;w04_d023
I knew it (know);Я это знал;w04_d023
I learnt a lot (learn);Я многому научился;w04_d023
I made progress (make);Я продвинулся;w04_d023
I paid in cash (pay);Я заплатил наличными;w04_d023
I put it aside (put);Я отложил это;w04_d023
a habit;привычка;w04_d024
I've cut down on sugar;Я сократил сахар;w04_d024
I've given up junk food;Я отказался от вредной еды;w04_d024
a craving;тяга, сильное желание;w04_d024
a slip;срыв;w04_d024
a routine;распорядок;w04_d024
I get up at the same time;Я встаю в одно и то же время;w04_d024
I fall asleep quickly;Я быстро засыпаю;w04_d024
push-ups;отжимания;w04_d024
I've got better at it;Я стал лучше в этом;w04_d024
I've changed a lot since winter;Я сильно изменился с зимы;w04_d026
Last winter I couldn't do one push-up;Прошлой зимой я не мог сделать ни одного отжимания;w04_d026
Now I can do fifteen;Сейчас могу пятнадцать;w04_d026
I've been trying to eat well;Я стараюсь хорошо питаться;w04_d026
I had a slip last week;У меня был срыв на прошлой неделе;w04_d026
It's been a hard month;Это был тяжёлый месяц;w04_d026
Things have got better;Всё стало лучше;w04_d026
I haven't given up;Я не сдался;w04_d026
the last few weeks;последние несколько недель;w04_d026
So far, so good;Пока всё хорошо;w04_d026
I've kept my routine today;Сегодня я держал распорядок;w04_d027
I slept badly last night;Я плохо спал прошлой ночью;w04_d027
By the time I arrived, the tourists had left;К тому времени как я приехал, туристы уже уехали;w05_d029
The flight had been delayed, so I got there late;Рейс задержали, поэтому я приехал поздно;w05_d029
I had never seen mountains before;Я никогда раньше не видел гор;w05_d029
When I woke up, we had already arrived;Когда я проснулся, мы уже приехали;w05_d029
I realised I had forgotten my charger;Я понял, что забыл зарядку;w05_d029
after I had slept;после того как я поспал;w05_d029
as soon as I had landed;как только я приземлился;w05_d029
It had been a long night;Это была длинная ночь;w05_d029
I had planned to arrive at nine;Я планировал приехать в девять;w05_d029
Everything had gone wrong;Всё пошло не так;w05_d029
I had left (leave);я уже ушёл;w05_d030
I had lost (lose);я потерял;w05_d030
I had found (find);я нашёл;w05_d030
I had forgotten (forget);я забыл;w05_d030
It had broken (break);оно сломалось;w05_d030
I had fallen asleep (fall);я заснул;w05_d030
I had run out of time (run);у меня кончилось время;w05_d030
I had stood there for an hour (stand);я простоял там час;w05_d030
I had sat down (sit);я сел;w05_d030
I had woken up (wake);я проснулся;w05_d030
a boarding pass;посадочный талон;w05_d031
baggage claim;выдача багажа;w05_d031
a layover;пересадка с ожиданием;w05_d031
a night flight;ночной рейс;w05_d031
turbulence;турбулентность;w05_d031
the aisle seat;место у прохода;w05_d031
a window seat;место у окна;w05_d031
to take off;взлетать;w05_d031
to land;приземляться;w05_d031
a shuttle bus;автобус-шаттл;w05_d031
That's why I was late;Вот почему я опоздал;w05_d033
because of the delay;из-за задержки;w05_d033
as a result;в результате;w05_d033
so I had to ...;поэтому мне пришлось ...;w05_d033
which meant that ...;что означало, что ...;w05_d033
Otherwise, ...;Иначе ...;w05_d033
If only I had known;Если бы я только знал;w05_d033
Looking back, ...;Оглядываясь назад ...;w05_d033
It wasn't my fault;Это была не моя вина;w05_d033
Next time I'll ...;В следующий раз я ...;w05_d033
I had a long day;У меня был длинный день;w05_d034
By the evening I was done;К вечеру я выдохся;w05_d034
I've been working on a project;Я работаю над проектом;w06_d036
I've been learning English every evening;Я учу английский каждый вечер;w06_d036
I've been doing this since February;Я делаю это с февраля;w06_d036
I've finished the first part;Я закончил первую часть;w06_d036
I've written a script;Я написал скрипт;w06_d036
How long have you been doing it?;Как давно ты этим занимаешься?;w06_d036
I've been waiting for a reply;Я жду ответа;w06_d036
I've been thinking about it;Я думал об этом;w06_d036
It's been going well;Всё идёт хорошо;w06_d036
I've been trying to fix it;Я пытаюсь это починить;w06_d036
a deadline;дедлайн;w06_d037
a task;задача;w06_d037
an income;доход;w06_d037
a profit;прибыль;w06_d037
a side project;побочный проект;w06_d037
to automate;автоматизировать;w06_d037
a script;скрипт;w06_d037
a workflow;рабочий процесс;w06_d037
to set up;настроить, запустить;w06_d037
to run 24/7;работать круглосуточно;w06_d037
I've made some progress;Я продвинулся;w06_d038
I've been stuck on this for days;Я застрял на этом на несколько дней;w06_d038
I've run into a problem;Я столкнулся с проблемой;w06_d038
I've figured it out;Я разобрался;w06_d038
It's not working yet;Пока не работает;w06_d038
I've been testing it;Я это тестирую;w06_d038
I've given it a try;Я попробовал;w06_d038
I've almost finished;Я почти закончил;w06_d038
I've lost track of time;Я потерял счёт времени;w06_d038
I've been putting it off;Я это откладываю;w06_d038
I've been reading this book (process);Я читаю эту книгу;w06_d040
I've read this book (done);Я прочитал эту книгу;w06_d040
I've been calling him all day;Я звонил ему весь день;w06_d040
I've called him three times;Я позвонил ему три раза;w06_d040
I've been learning for six months;Я учу шесть месяцев;w06_d040
I've learnt a lot;Я многому научился;w06_d040
I've been working out;Я тренируюсь;w06_d040
I've done fifteen push-ups;Я сделал пятнадцать отжиманий;w06_d040
I've been sleeping badly;Я плохо сплю;w06_d040
I've slept well tonight;Сегодня я хорошо спал;w06_d040
I've been busy all day;Я был занят весь день;w06_d041
I've been feeling tired lately;В последнее время я чувствую усталость;w06_d041
I had been waiting for two hours when ...;Я ждал уже два часа, когда ...;w07_d043
She was exhausted because she had been driving all night;Она была вымотана, потому что вела машину всю ночь;w07_d043
It had been raining, so the road was wet;Шёл дождь, поэтому дорога была мокрой;w07_d043
I'd been thinking about it for a while;Я думал об этом какое-то время;w07_d043
Once, ...;Однажды ...;w07_d043
It all started when ...;Всё началось, когда ...;w07_d043
Meanwhile, ...;Тем временем ...;w07_d043
A few minutes later, ...;Через несколько минут ...;w07_d043
In the end, ...;В конце концов ...;w07_d043
and that was it;и на этом всё;w07_d043
I said (say);я сказал;w07_d044
He told me (tell);Он сказал мне;w07_d044
I thought (think);я подумал;w07_d044
I brought (bring);я принёс;w07_d044
I caught a cold (catch);я простудился;w07_d044
She taught me (teach);Она научила меня;w07_d044
I held (hold);я держал;w07_d044
It led to (lead);Это привело к;w07_d044
I sent (send);я отправил;w07_d044
I spent (spend);я потратил;w07_d044
a plot;сюжет;w07_d045
a twist;неожиданный поворот;w07_d045
to turn out;оказаться;w07_d045
to end up;в итоге оказаться;w07_d045
to run into someone;случайно встретить кого-то;w07_d045
to show up;появиться;w07_d045
to get away with;остаться безнаказанным;w07_d045
a coincidence;совпадение;w07_d045
to be about to;вот-вот собираться;w07_d045
out of nowhere;из ниоткуда;w07_d045
I couldn't believe it;Я не мог поверить;w07_d047
I had no idea;Я понятия не имел;w07_d047
I panicked;Я запаниковал;w07_d047
I stayed calm;Я оставался спокойным;w07_d047
I burst out laughing;Я расхохотался;w07_d047
I was speechless;Я потерял дар речи;w07_d047
It was a relief;Это было облегчение;w07_d047
I was in shock;Я был в шоке;w07_d047
I learned my lesson;Я усвоил урок;w07_d047
Never again;Больше никогда;w07_d047
Today something funny happened;Сегодня случилось кое-что смешное;w07_d048
Nothing worth telling happened;Ничего достойного рассказа не случилось;w07_d048
I have to get up at seven;Мне нужно вставать в семь;w08_d050
I don't have to go tomorrow;Мне не нужно идти завтра;w08_d050
You must be on time;Ты должен быть вовремя;w08_d050
You mustn't do that;Тебе нельзя это делать;w08_d050
I should go to bed earlier;Мне следует ложиться раньше;w08_d050
You shouldn't skip it;Тебе не стоит это пропускать;w08_d050
I had to wait;Мне пришлось ждать;w08_d050
I'll have to check;Мне надо будет проверить;w08_d050
You'd better ...;Тебе лучше ...;w08_d050
I'm supposed to ...;Предполагается, что я ...;w08_d050
a rule;правило;w08_d051
to be allowed to;иметь разрешение;w08_d051
to be forbidden;быть запрещённым;w08_d051
a fine;штраф;w08_d051
to follow the rules;соблюдать правила;w08_d051
to break the rules;нарушать правила;w08_d051
a requirement;требование;w08_d051
compulsory;обязательный;w08_d051
optional;необязательный;w08_d051
an exception;исключение;w08_d051
If I were you, I'd ...;На твоём месте я бы ...;w08_d052
You might want to ...;Возможно, тебе стоит ...;w08_d052
It's worth trying;Стоит попробовать;w08_d052
Why don't you ...?;Почему бы тебе не ...?;w08_d052
Have you thought about ...?;Ты думал о ...?;w08_d052
Make sure you ...;Убедись, что ты ...;w08_d052
Don't forget to ...;Не забудь ...;w08_d052
I'd avoid ...;Я бы избегал ...;w08_d052
Take it easy;Не напрягайся;w08_d052
It's up to you;Решать тебе;w08_d052
to attend classes;посещать занятия;w08_d054
to skip school;прогуливать школу;w08_d054
homework;домашнее задание;w08_d054
a strict teacher;строгий учитель;w08_d054
to concentrate;сосредоточиться;w08_d054
to get distracted;отвлечься;w08_d054
self-discipline;самодисциплина;w08_d054
a schedule;расписание;w08_d054
to stick to a plan;придерживаться плана;w08_d054
to keep a promise;сдержать обещание;w08_d054
I had to force myself today;Сегодня пришлось заставить себя;w08_d055
I stuck to the plan;Я придерживался плана;w08_d055
He must be tired;Он, должно быть, устал;w09_d057
That can't be true;Этого не может быть;w09_d057
She might be at work;Возможно, она на работе;w09_d057
It could be a mistake;Это может быть ошибка;w09_d057
He must have missed the bus;Он, должно быть, опоздал на автобус;w09_d057
She can't have forgotten;Не может быть, что она забыла;w09_d057
They may have left already;Возможно, они уже ушли;w09_d057
It might have been a scam;Возможно, это была афера;w09_d057
I must have fallen asleep;Я, должно быть, заснул;w09_d057
Someone must have taken it;Кто-то, должно быть, это взял;w09_d057
probably;вероятно;w09_d058
definitely;определённо;w09_d058
I guess;наверное;w09_d058
I bet;готов поспорить;w09_d058
It looks like ...;Похоже, что ...;w09_d058
It seems that ...;Кажется, что ...;w09_d058
as far as I know;насколько я знаю;w09_d058
There's no way;Никак невозможно;w09_d058
I doubt it;Сомневаюсь;w09_d058
Who knows?;Кто знает?;w09_d058
He's not answering;Он не отвечает;w09_d059
The parcel hasn't arrived;Посылка не пришла;w09_d059
The lights are off;Свет выключен;w09_d059
She looks upset;Она выглядит расстроенной;w09_d059
It's too good to be true;Слишком хорошо, чтобы быть правдой;w09_d059
That sounds suspicious;Звучит подозрительно;w09_d059
to figure out;разобраться;w09_d059
a clue;подсказка, улика;w09_d059
an explanation;объяснение;w09_d059
to make sense;иметь смысл;w09_d059
I should have checked;Мне следовало проверить;w09_d061
I shouldn't have trusted him;Мне не следовало ему доверять;w09_d061
I could have done better;Я мог бы сделать лучше;w09_d061
I needn't have worried;Мне не нужно было переживать;w09_d061
It would have been easier;Было бы легче;w09_d061
I ought to have known;Мне стоило знать;w09_d061
with hindsight;задним числом;w09_d061
a lesson learned;усвоенный урок;w09_d061
I blame myself;Я виню себя;w09_d061
Next time I'll know;В следующий раз буду знать;w09_d061
I must have slept badly;Я, должно быть, плохо спал;w09_d062
It might have been the coffee;Возможно, дело было в кофе;w09_d062
It was built in 1900;Это было построено в 1900;w10_d064
The flight was cancelled;Рейс был отменён;w10_d064
The road is being repaired;Дорогу ремонтируют;w10_d064
The results will be announced;Результаты объявят;w10_d064
English is spoken here;Здесь говорят по-английски;w10_d064
It has been sold;Это продано;w10_d064
I was told to wait;Мне сказали ждать;w10_d064
It's made of stone;Это сделано из камня;w10_d064
The account was blocked;Аккаунт заблокировали;w10_d064
It's done automatically;Это делается автоматически;w10_d064
a monument;памятник;w10_d065
to be located;располагаться;w10_d065
a district;район;w10_d065
the outskirts;окраины;w10_d065
public transport;общественный транспорт;w10_d065
a pedestrian street;пешеходная улица;w10_d065
to be under construction;строиться;w10_d065
a facility;объект, сооружение;w10_d065
to be surrounded by;быть окружённым;w10_d065
the city centre;центр города;w10_d065
The video was uploaded;Видео было загружено;w10_d066
The channel got banned;Канал забанили;w10_d066
The account was created;Аккаунт был создан;w10_d066
It's being tested;Это тестируется;w10_d066
The data is stored;Данные хранятся;w10_d066
It was written in Python;Это написано на Python;w10_d066
The bug has been fixed;Баг исправлен;w10_d066
It can be automated;Это можно автоматизировать;w10_d066
It needs to be checked;Это нужно проверить;w10_d066
It was designed to ...;Это разработано, чтобы ...;w10_d066
It was founded;Он был основан;w10_d068
It's known for;Он известен;w10_d068
It's visited by thousands;Его посещают тысячи;w10_d068
It's considered;Считается;w10_d068
It was destroyed;Он был разрушен;w10_d068
It has been rebuilt;Он перестроен;w10_d068
It's worth seeing;Его стоит увидеть;w10_d068
crowded;переполненный;w10_d068
peaceful;спокойный;w10_d068
breathtaking;захватывающий дух;w10_d068
I got asked a strange question today;Мне сегодня задали странный вопрос;w10_d069
My plan got changed;Мой план изменился;w10_d069
I used to stay up late;Раньше я поздно ложился;w11_d071
I didn't use to do sport;Раньше я не занимался спортом;w11_d071
I used to eat a lot of sweets;Раньше я ел много сладкого;w11_d071
Did you use to ...?;Ты раньше ...?;w11_d071
I'm used to getting up early;Я привык вставать рано;w11_d071
I'm getting used to it;Я к этому привыкаю;w11_d071
I can't get used to it;Я не могу к этому привыкнуть;w11_d071
I'm not used to the cold;Я не привык к холоду;w11_d071
It took me a while to get used to it;Мне понадобилось время, чтобы привыкнуть;w11_d071
I've got used to it;Я привык;w11_d071
to change my mind;передумать;w11_d072
a turning point;поворотный момент;w11_d072
to give up;бросить;w11_d072
to take up;начать (хобби);w11_d072
to cut out;исключить;w11_d072
to build a habit;выработать привычку;w11_d072
to break a habit;избавиться от привычки;w11_d072
willpower;сила воли;w11_d072
gradually;постепенно;w11_d072
overnight;за одну ночь, внезапно;w11_d072
when I was a kid;когда я был ребёнком;w11_d073
I grew up in a small town;Я вырос в маленьком городе;w11_d073
I used to play outside;Раньше я играл на улице;w11_d073
my childhood;моё детство;w11_d073
I was into games;Я увлекался играми;w11_d073
I used to be shy;Раньше я был стеснительным;w11_d073
I didn't care about;Мне было всё равно на;w11_d073
back then;в те времена;w11_d073
I've changed since then;С тех пор я изменился;w11_d073
I miss those days;Я скучаю по тем дням;w11_d073
These days I ...;В наши дни я ...;w11_d075
Unlike before, ...;В отличие от прошлого ...;w11_d075
Compared to last year, ...;По сравнению с прошлым годом ...;w11_d075
I'm much better at it now;Сейчас я намного лучше в этом;w11_d075
I used to think that ...;Раньше я думал, что ...;w11_d075
Now I realise that ...;Теперь я понимаю, что ...;w11_d075
the biggest change;самое большое изменение;w11_d075
I've become more disciplined;Я стал более дисциплинированным;w11_d075
I no longer ...;Я больше не ...;w11_d075
I still ...;Я всё ещё ...;w11_d075
I'm getting used to this routine;Я привыкаю к этому распорядку;w11_d076
Today felt like the old days;Сегодня было как в прежние времена;w11_d076
I enjoy learning;Мне нравится учиться;w12_d078
I want to travel;Я хочу путешествовать;w12_d078
I decided to stay;Я решил остаться;w12_d078
I stopped eating sugar;Я перестал есть сахар;w12_d078
I stopped to buy water;Я остановился, чтобы купить воды;w12_d078
I'm looking forward to seeing it;Я с нетерпением жду этого;w12_d078
It's worth doing;Это стоит делать;w12_d078
I'd rather stay home;Я бы предпочёл остаться дома;w12_d078
I'd prefer to go alone;Я бы предпочёл поехать один;w12_d078
I can't stand waiting;Я терпеть не могу ждать;w12_d078
avoid doing;избегать делать;w12_d079
keep doing;продолжать делать;w12_d079
mind doing;возражать против;w12_d079
suggest doing;предлагать сделать;w12_d079
plan to do;планировать сделать;w12_d079
manage to do;суметь сделать;w12_d079
refuse to do;отказаться делать;w12_d079
afford to do;позволить себе сделать;w12_d079
forget to do;забыть сделать;w12_d079
remember doing;помнить, как делал;w12_d079
a long-term goal;долгосрочная цель;w12_d080
a short-term plan;краткосрочный план;w12_d080
to set a goal;поставить цель;w12_d080
to achieve;достичь;w12_d080
a priority;приоритет;w12_d080
to postpone;отложить;w12_d080
to schedule;запланировать;w12_d080
to make up my mind;принять решение;w12_d080
to consider doing;рассматривать возможность;w12_d080
an opportunity;возможность;w12_d080
I'm keen on;Я увлекаюсь;w12_d082
I'm not into;Мне не интересно;w12_d082
I'm fond of;Я люблю (что-то);w12_d082
I'm fed up with;Мне надоело;w12_d082
I'm interested in;Я интересуюсь;w12_d082
I'm good at;Я хорош в;w12_d082
I'm bad at;Я плох в;w12_d082
I'm tired of;Я устал от;w12_d082
I'm afraid of;Я боюсь;w12_d082
I'm used to;Я привык к;w12_d082
I managed to finish everything;Мне удалось всё закончить;w12_d083
I kept putting things off;Я продолжал откладывать дела;w12_d083
If it rains, I'll stay in;Если пойдёт дождь, я останусь дома;w13_d085
If I finish early, I'll call you;Если закончу рано, позвоню;w13_d085
I'll go unless it's too cold;Я пойду, если только не будет слишком холодно;w13_d085
When I get there, I'll text you;Когда доберусь, напишу;w13_d085
As soon as I know, I'll tell you;Как только узнаю, скажу;w13_d085
I'm going to travel next summer;Следующим летом я собираюсь путешествовать;w13_d085
I'm meeting a friend on Saturday;В субботу я встречаюсь с другом;w13_d085
I think it'll be fine;Думаю, всё будет нормально;w13_d085
It might rain;Может пойти дождь;w13_d085
in case;на случай;w13_d085
a forecast;прогноз;w13_d086
humid;влажный;w13_d086
freezing;ледяной;w13_d086
mild;мягкий (о погоде);w13_d086
a heatwave;жара;w13_d086
a storm;шторм, гроза;w13_d086
to pack light;собираться налегке;w13_d086
a budget trip;бюджетная поездка;w13_d086
to book in advance;бронировать заранее;w13_d086
a last-minute deal;горящее предложение;w13_d086
to plan ahead;планировать заранее;w13_d087
an itinerary;маршрут поездки;w13_d087
accommodation;жильё;w13_d087
a hostel;хостел;w13_d087
a return ticket;обратный билет;w13_d087
a visa;виза;w13_d087
travel insurance;страховка;w13_d087
a local SIM card;местная сим-карта;w13_d087
to exchange money;обменять деньги;w13_d087
a tourist trap;ловушка для туристов;w13_d087
If you don't book now, it'll sell out;Если не забронируешь сейчас, всё раскупят;w13_d089
If you take the night flight, you'll save money;Если возьмёшь ночной рейс, сэкономишь;w13_d089
Unless you hurry, you'll miss it;Если не поторопишься, пропустишь;w13_d089
Provided that ...;При условии, что ...;w13_d089
Just in case, ...;На всякий случай ...;w13_d089
Bring a jacket in case it gets cold;Возьми куртку на случай, если похолодает;w13_d089
If the weather is bad, we'll change the plan;Если погода плохая, поменяем план;w13_d089
It depends on ...;Это зависит от ...;w13_d089
We'll see;Посмотрим;w13_d089
Let's play it by ear;Решим по ходу;w13_d089
If I sleep well, tomorrow will be easier;Если высплюсь, завтра будет легче;w13_d090
I'll take it easy tomorrow;Завтра не буду напрягаться;w13_d090
If I had more money, I'd move;Если бы у меня было больше денег, я бы переехал;w14_d092
If I were you, I'd wait;На твоём месте я бы подождал;w14_d092
What would you do if ...?;Что бы ты сделал, если ...?;w14_d092
I wouldn't do that;Я бы так не сделал;w14_d092
If I could, I would;Если бы мог, сделал бы;w14_d092
I'd rather not;Я бы предпочёл нет;w14_d092
It would be great;Было бы здорово;w14_d092
If I lived abroad, ...;Если бы я жил за границей ...;w14_d092
If I didn't have to study, ...;Если бы мне не надо было учиться ...;w14_d092
I'd love to;С удовольствием;w14_d092
a decision;решение;w14_d093
to weigh up;взвесить;w14_d093
the pros and cons;плюсы и минусы;w14_d093
a risk;риск;w14_d093
to take a risk;рисковать;w14_d093
to play it safe;перестраховаться;w14_d093
a trade-off;компромисс;w14_d093
to go for it;решиться;w14_d093
to back out;пойти на попятную;w14_d093
in the long run;в долгосрочной перспективе;w14_d093
If I won the lottery, ...;Если бы я выиграл в лотерею ...;w14_d094
I'd invest it;Я бы вложил их;w14_d094
I'd save half;Я бы отложил половину;w14_d094
I wouldn't waste it;Я бы не потратил их впустую;w14_d094
savings;сбережения;w14_d094
an investment;инвестиция;w14_d094
to earn;зарабатывать;w14_d094
to spend;тратить;w14_d094
to afford;позволить себе;w14_d094
a bargain;выгодная покупка;w14_d094
If I moved abroad, I'd miss my family;Если бы я переехал, я бы скучал по семье;w14_d096
I'd have to learn the language;Мне пришлось бы выучить язык;w14_d096
I could work remotely;Я мог бы работать удалённо;w14_d096
It would take time;Это заняло бы время;w14_d096
I'd get used to it;Я бы привык;w14_d096
a residence permit;вид на жительство;w14_d096
to settle down;осесть;w14_d096
to fit in;вписаться;w14_d096
culture shock;культурный шок;w14_d096
homesick;тоскующий по дому;w14_d096
If I had more time, I'd rest more;Если бы у меня было больше времени, я бы больше отдыхал;w14_d097
I'd change nothing about today;Я бы ничего не поменял в сегодняшнем дне;w14_d097
the guy who helped me;парень, который мне помог;w15_d099
the village that I visited;деревня, которую я посетил;w15_d099
the place where I grew up;место, где я вырос;w15_d099
the year when it happened;год, когда это случилось;w15_d099
the driver whose car broke down;водитель, чья машина сломалась;w15_d099
the reason why I left;причина, по которой я ушёл;w15_d099
someone who ...;кто-то, кто ...;w15_d099
something that ...;что-то, что ...;w15_d099
Cheboksary, which is my home town, ...;Чебоксары, мой родной город, ...;w15_d099
the app I use;приложение, которым я пользуюсь;w15_d099
reliable;надёжный;w15_d100
easy-going;лёгкий в общении;w15_d100
stubborn;упрямый;w15_d100
ambitious;амбициозный;w15_d100
honest;честный;w15_d100
a hard worker;трудяга;w15_d100
a good listener;умеет слушать;w15_d100
someone I can trust;тот, кому я могу доверять;w15_d100
a person who never gives up;человек, который никогда не сдаётся;w15_d100
to get on with;ладить с;w15_d100
cosy;уютный;w15_d101
spacious;просторный;w15_d101
remote;отдалённый;w15_d101
modern;современный;w15_d101
convenient;удобный;w15_d101
reasonable;разумный (о цене);w15_d101
overrated;переоценённый;w15_d101
underrated;недооценённый;w15_d101
a must-see;обязательно к посещению;w15_d101
run-down;запущенный, обветшалый;w15_d101
It's a thing that you use for ...;Это штука, которую используют для ...;w15_d103
